#(threads),time taken(in ns)
1157,57649721
1158,60626210
1159,59032822
1160,59967850
1161,59306100
1162,60500527
1163,60576977
1164,61042225
1165,60477587
1166,59416377
1167,60391746
1168,61041331
1169,62784899
1170,57961394
1171,61833181
1172,58248689
1173,59680592
1174,62597259
1175,59566345
1176,60366360
1177,63333531
1178,60293813
1179,60240762
1180,60615318
1181,60673927
1182,60147638
1183,58498993
1184,59526828
1185,61712020
1186,62280353
1187,60028401
1188,59820296
1189,61444643
1190,61600019
1191,59719927
1192,61606156
1193,59190613
1194,59746613
1195,64750293
1196,60540780
1197,61808698
1198,60408848
1199,61413862
1200,58291630
1201,60074098
1202,61865112
1203,62427734
1204,58269479
1205,60098106
1206,59363728
1207,59083017
1208,61411269
1209,60235694
1210,61944707
1211,59468829
1212,64191617
1213,59762254
1214,63500244
1215,59683016
1216,59036628
1217,60127160
1218,59633347
1219,61686858
1220,59877776
1221,59796799
1222,58430245
1223,62994444
1224,61430137
1225,60390003
1226,60370413
1227,62412783
1228,63398976
1229,63061929
1230,63037758
1231,60716277
1232,62371643
1233,59113779
1234,61841978
1235,60287113
1236,64683285
1237,59872816
1238,60806564
1239,62676756
1240,61604907
1241,58996459
1242,60553155
1243,61873009
1244,60906506
1245,63660627
1246,60074483
1247,63142091
1248,61312464
1249,61167455
1250,59215968
1251,61378132
1252,63633168
1253,63612670
1254,62948276
1255,62628420
1256,60963695
1257,62345505
1258,62038649
1259,63376617
1260,60704287
1261,62685278
1262,62868947
1263,63521532
1264,62584717
1265,61202465
1266,63748485
1267,61902709
1268,62769991
1269,63226107
1270,62270067
1271,61199193
1272,63719223
1273,61597464
1274,62349450
1275,63153111
1276,61014046
1277,60638412
1278,62276362
1279,61183573
1280,61130644
1281,62188428
1282,60619788
1283,62570743
1284,65234209
1285,62213727
1286,60736184
1287,61425383
1288,61758473
1289,61018026
1290,61389509
1291,60860481
1292,63952103
1293,60478481
1294,61354380
1295,61265453
1296,61937107
1297,62576011
1298,62714393
1299,61085868
1300,64454977
1301,61742616
1302,63809811
1303,61224668
1304,61264955
1305,60137467
1306,61433317
1307,61040028
1308,63197462
1309,63762872
1310,62708432
1311,60621410
1312,63103333
1313,60583600
1314,63946771
1315,62200567
1316,63797081
1317,61455876
1318,63919596
1319,61825205
1320,62967614
1321,63489128
1322,63063548
1323,62333025
1324,62721605
1325,62060267
1326,62810895
1327,62865364
1328,61153696
1329,63241228
1330,61997573
1331,63346653
1332,64929327
1333,62776168
1334,63228793
1335,63348812
1336,63996678
1337,62565116
1338,63713565
1339,63567784
1340,62765598
1341,61140185
1342,65367918
1343,64101462
1344,63219739
1345,64752156
1346,61275010
1347,64215352
1348,63542178
1349,62323010
1350,63795425
1351,65625274
1352,63343393
1353,63191823
1354,64614657
1355,64564978
1356,62929037
1357,63562910
1358,63482596
1359,62599377
1360,62917067
1361,64020491
1362,65034429
1363,62635866
1364,61296044
1365,63545018
1366,64373295
1367,62102297
1368,63771852
1369,64323287
1370,62795061
1371,62765774
1372,61766969
1373,63313095
1374,64779353
1375,63774557
1376,64217645
1377,62688736
1378,63016144
1379,64394907
1380,62973458
1381,62403920
1382,62680681
1383,65740727
1384,65503735
1385,67105321
1386,61562488
1387,65048681
1388,67225170
1389,64994280
1390,64084633
1391,63475143
1392,63882455
1393,62817240
1394,63601880
1395,65050397
1396,61423025
1397,63329363
1398,65178913
1399,65539264
1400,61839557
1401,62427710
1402,66080090
1403,62994921
1404,64594472
1405,64993213
1406,66961950
1407,63028051
1408,64162089
1409,64908657
1410,62899103
1411,63262777
1412,65328279
1413,65078392
1414,64026268
1415,64190422
1416,64503133
1417,65722817
1418,68978792
1419,62693799
1420,66183179
1421,63504832
1422,66737186
1423,63650492
1424,64680954
1425,64280905
1426,63587420
1427,66424464
1428,64769612
1429,64617543
1430,64728332
1431,66200183
1432,66600751
1433,64557353
