28,12,47877551
29,12,50824432
30,12,42744105
40,12,42383019
50,12,42940794
60,12,46903808
70,12,49556347
80,12,45318808
90,12,46725976
100,12,44286916
200,12,46334281
300,12,44305902
400,12,45116110
500,12,40856379
600,12,46757945
700,12,46235427
800,12,42452189
900,12,48577023
1000,12,43876788
2000,12,52580994
1,13,55760100
2,13,48447701
3,13,46827836
4,13,42654769
5,13,50286736
6,13,42951644
7,13,43728250
8,13,44112619
9,13,47486079
10,13,43557811
11,13,58275804
12,13,45260110
13,13,46083513
14,13,44890187
15,13,45911500
16,13,44972773
17,13,46464977
18,13,40847734
19,13,42374565
20,13,44487974
21,13,43475857
22,13,50746018
23,13,45505149
24,13,49827096
25,13,44114644
26,13,49388935
27,13,53563245
28,13,46035493
29,13,49564264
30,13,43912566
40,13,46266196
50,13,44691366
60,13,48131150
70,13,47314049
80,13,48807447
90,13,47504386
100,13,48663807
200,13,48337717
300,13,53558327
400,13,47019487
500,13,53063170
600,13,45563830
700,13,46328913
800,13,44860613
900,13,45688895
1000,13,40254444
2000,13,48614155
1,14,50737011
2,14,54002829
3,14,51406115
4,14,43730075
5,14,47058301
6,14,42306739
7,14,47774593
8,14,54858514
9,14,46581658
10,14,46404125
11,14,43565568
12,14,44879579
13,14,46253954
14,14,45684347
15,14,52809054
16,14,47110028
17,14,46038591
18,14,42802227
19,14,46585104
20,14,45409201
21,14,45208816
22,14,43283790
23,14,40879325
24,14,47476534
25,14,48655654
26,14,44611137
27,14,38919995
28,14,44291228
29,14,43006170
30,14,46745636
40,14,43163676
50,14,41291768
60,14,46163676
70,14,44167767
80,14,43383136
90,14,43965367
100,14,45416666
200,14,46524882
300,14,41480673
400,14,45446813
500,14,42704536
600,14,47270369
700,14,44433955
800,14,44922961
900,14,47801544
1000,14,46961460
2000,14,42388513
1,15,44870214
2,15,45736586
3,15,46851905
4,15,40048731
5,15,45016257
6,15,47577796
7,15,46188172
8,15,44360990
9,15,53704514
10,15,48976086
11,15,47696819
12,15,49828703
13,15,47806625
14,15,45020746
